,bleu,preds,labels
0,0.3951508608147907,"model: flan-t5-large
learning_rate: 3e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",
1,0.03397205560516322,"[""I've been to this club a few times and it's always a good"", ""I'm a big fan of this place."", 'Wasabi2 is a sushi spot in a shopping center.', 'Located in the West Market, this is a great place to take a break from', ""I'm a bowl artist"", 'I love the wings.', 'I love their cold brew coffee', ""I'd probablyyyyyyyy come back (ackassy"", ""I'm not sure what the hype is about, but I'm sure it's"", ""I love this place. It's kid friendly. They have a section where you can"", 'Besito is a great place to go for Mexican food.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
2,0.0,"[""I've been to this club a few times and it's always a good"", 'The food is great.', 'Wasabi2 is a sushi spot in a shopping center.', 'Located in the West Market, this is a great place to take a break from', 'i love the bowls', 'I love the wings.', 'i love their delicious coffee in a no-nonsense style', 'a hot pot restaurant', 'The food was mediocre.', 'The food is good, but the portions are small.', 'Besito is a great place to go for Mexican food.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
3,0.0,"['i love the ambiance and the music', 'a good place to hang out and get some writing done', 'Wasabi2 is a sushi spot in a shopping center', 'Located in the West Market, this is a great place to take a break from', 'i love you', 'The wings are very good.', 'i love their delicious coffee in a no-nonsense style', 'a fairly good hot pot restaurant', 'The food was mediocre.', 'The food is pretty good but the portions are little small.', 'Besito is a great place to go for Mexican food.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
4,0.0,"['i love the secluded VIP area', 'a good place to hang out and get some writing done', 'a sushi spot in a shopping center', 'a place to relax and enjoy.', 'i love you', 'i love the wings', 'i love their delicious coffee in a no-nonsense style', 'cockroach', 'i was disappointed', 'The food is pretty good but the portions are little small.', 'i love the complimentary chips and salsa']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
5,0.04255835850937789,"['a secluded VIP area where you can dance in an elevated room with an open section', 'a good stop-over after a lovely trip to Philly Community Acupunc', 'a sushi spot in a shopping center', 'a place to relax and enjoy', 'i love you', 'a good place to eat', 'i love their delicious coffee in a no-nonsense style', 'cockroach', 'i was disappointed', 'a professional babysitting service at the restaurant', 'i love the complimentary dessert churros']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
6,0.041727022840213554,"['a secluded VIP area where you can dance in an elevated room with an open section', 'a good stop-over after a lovely trip to Philadelphia Community Acupuncture', 'a sushi spot in a shopping center', 'a place to relax', 'i love the bowls', 'a good place to eat', 'a mild obsession with La Colombe', 'cockroach', 'i was so disappointed', 'a professional babysitting service at the restaurant', 'i love the complimentary dessert churros']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
7,0.04161928315504926,"['a secluded VIP area where you can dance in an elevated room with an open section', 'a good stop-over after a lovely trip to Philadelphia Community Acupuncture', 'a sushi spot in a shopping center', 'a place to relax', 'i love the bowls', 'a good place to eat', 'a mild obsession with La Colombe', 'cockroach', 'i was so disappointed', 'a professional babysitting service at the restaurant', 'a very nice touch']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
8,0.04453442650186465,"['a secluded VIP area where you can dance in an elevated room with an open section', 'a good stop-over after a lovely trip to Philadelphia Community Acupuncture', 'a sushi spot in a shopping center!! Something you see just all the time. All', 'a place to relax and enjoy', 'i love the bowls', 'a good place to eat', 'a no-nonsense style', 'cockroach', 'i was a little disappointed', 'a professional babysitting service at the restaurant.', 'a great place to eat']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
9,0.03728110128052807,"['a secluded VIP area where you can dance in an elevated room with an open section', 'a splurge', 'a sushi spot in a shopping center!! Something you see just all the time. All', 'a place to relax and enjoy', 'a HUGE portion', 'a good selection of food', 'a no-nonsense style', 'cockroach', 'a sour taste', 'a professional babysitting service at the restaurant. The restrooms are kid friendly also', 'a great place to eat']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
