,precision,recall,f1,preds,labels
0,24.81331168831169,14.397426647426647,17.7219857254129,"model: flan-t5-large, learning_rate: 3e-05, num_train_epochs: 5, weight_decay: 0.001,per_device_train_batch_size: 2, gradient_accumulation_steps: 8","Q: Given the following restaurant review, list what is atypical in the restaurant. Separate them using comma.
A bit of self care and indulgence for when you want to relax and de-stress and if you don't want to go to the bar but have another option. Relax and enjoy. There's a lounge area behind. So you can take your drink in the lounge and kick back. Caffeinated choices are available. If you like your tastebuds teased in a different way, this is a treat. Perfect for yogis and if you like incense. (there's no incense, but it may remind you ...). Can be a spiritual experience as there are symbolism and custom associations provided if you want to try them. Just ask the very knowledgeable Server.It is what you make it. Whatever style makes you comfortable.You have to go inside the West Market to find it! Do not miss.
A: "
1,6.25,3.7037037037037033,4.651162790697675,"['a syringe', 'a comma', 'a sexy sexy sexy', 'a comma', 'gluten free', 'a bit of self care and indulgence for when you want to relax and de-s', 'a sand sculpture', 'a burger', 'a comma', 'a comma is used to separate them', 'a comma']","['None', 'Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'ponchos', 'dock area, paddle cruise', 'None', 'lounge area, symbolism, custom associations', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'None', 'trivia night, fireworks', 'section, professional babysitting service, different size diapers', 'water, manatee']"
2,0.0,0.0,0.0,"['a custom boot store', 'acoustic', 'separate them using comma', 'Separate them using comma', 'Separate them using comma', 'separating them using comma', 'separate them using comma', 'Separate them using comma.', 'Separate them using comma', 'separating them using comma', 'separating them using comma']","['None', 'best sounding band, female vocalist', 'karaoke venue', 'Arizona Greyhound Rescue event, hounds', 'None', 'None', 'None', 'None', 'Wifi, Live bands, book exchange area, community scarf/blanket project', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None']"
3,0.0,0.0,0.0,"['anium, linoleum floors, natural light, natural ventilation, natural', 's', 'Witchy teas Witchy teas Witchy teas Witchy teas Witchy', 'separate them using comma. The ambiance is great, they have a', 'spalato, chianti, sangiovese, sas', 'berry, raspberry, and peach', 'spalato cherry, apricot, peach, pineapple, mango, passion fruit,', 'separate them using comma. Separate them using comma. Separat', 'separate them using comma.', 'spalato, quesadilla, burrito, staff, friendly,', 'of the restaurant review. I love this place! Food is always good never had a']","['None', 'mini trampoline', 'on site medium, Their apothecary area', 'None', 'None', 'None', 'free calendar', 'their nightclub', 'None', 'None', 'parakeet paradise']"
4,15.0,16.666666666666664,15.789473684210526,"['synonyms, adjectives, nouns, noun phrases, adjective', 'balloon puppets and animals', 'pumpkin whoopie pie', 'separate them using comma', 'empty, large pieces of chicken,empty, large pieces of chicken,empty', 'cats', 'rewards card stage area for small concerts', 'separate them using comma', 'wings', 'continuum continuum continuum continuum continuum continuum continuum continuum continuum', 'complimentary chips complimentary dessert churros complimentary chips complimentary chips complimentary chips complimentary chips complimentary chips']","['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'entrance fee, adoption, Stray Cat Alliance', 'board games, trivia Pursuit, small concerts', 'dance floors, photo booth, Penns Landing fireworks', 'video', 'None', 'None']"
5,0.0,0.0,0.0,"['', '', '', '', '', '', '', '', '', '', '']","['events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Nice playroom', 'None', 'candy machine, watercolors, local artist, paintings', 'canoeing, kayaking, sunny fish', 'Derek St. Holmes, blues', 'audiobook', 'None', 'polaroid', 'guidebook']"
6,25.0,9.090909090909092,13.333333333333332,"['', 'reviews', 'reviews', '', '', '', '', 'pokestops', 'reviews', '', '']","['None', 'free wifi, gardener, coffee grounds, compost', 'water, boaters, dock, your pets', 'None', 'None', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'None', 'pokestops, cemetery', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', 'local wildlife, anarchists, hackers, organic gardeners, activists']"
7,30.0,7.5,12.0,"['', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['free comic', 'DDD, Food Network', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'None', 'None', 'Live music, lounge area, fishies, tank', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'free wifi, ping pong, shuffleboard, music venue', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'yoga, henna artist']"
8,45.45454545454545,22.727272727272727,30.3030303030303,"['None', 'None', 'None', 'None', 'None', 'None', 'organic pork producer', 'stand-up comic', 'None', 'None', 'None']","['None', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'amazing tour de bier, history lesson', 'garden, art, gift shop, cute wallet, shawl, necklace', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']"
9,71.42857142857143,47.61904761904761,57.142857142857146,"['None', 'None', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'None', 'arcade games, pool table, arcade games', 'outreach program, meal sponsorship program, students', 'None']","['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'outreach program, meal sponsorship program', 'None']"
10,55.00000000000001,36.666666666666664,44.0,"['petting zoo', 'brewery tour, Clydesdales horses', 'None', 'scratch off lottery machine, keno, computer nascar style racing, computer football', 'capoiera/zumba studio', 'Goose Creek Park', 'lottery tickets/ scratchers, boba, egg sandwiches, croissants, egg sandwiches,', 'None', 'peacocks, long public dock, peacocks', 'None', 'casino, AVA amphitheater']","['petting zoo, rooster, goat, pigs, cutest little piglet', 'their tour, 10 dollar fresh day tour, free tour, their museum, Clydesdales horses', 'tips, hikes, activities, golf course', 'scratch off lottery machine, keno, computer nascar style racing, computer football', 'capoiera/zumba studio', 'parklands, Goose Creek Park, playground', 'lottery tickets/scratchers', 'None', 'peacocks, long public dock', 'None', 'Casinos, concert, AVA amphitheater']"
